100 1416
0 45 3
0 54 5
0 13 13
0 95 27
0 67 26
0 75 25
0 94 1
0 84 23
0 30 7
0 44 17
0 48 16
0 16 8
0 33 6
0 52 15
0 18 18
0 79 52
0 37 59
0 62 5
0 86 26
0 23 13
0 97 7
0 51 29
0 15 18
0 87 13
0 3 5
0 10 3
0 99 16
0 17 2
1 16 10
1 90 17
1 27 14
1 56 5
1 25 7
1 68 61
1 42 14
1 30 27
1 47 27
1 7 9
1 63 34
1 49 25
1 20 15
1 38 2
1 31 4
1 61 2
1 35 2
1 32 12
1 52 30
1 48 10
1 94 6
1 36 24
1 10 14
1 45 10
1 65 16
1 22 28
1 76 2
1 89 26
1 44 38
1 77 84
1 86 13
1 67 13
1 93 11
1 8 22
2 22 28
2 11 13
2 43 15
2 61 17
2 4 3
2 99 13
2 58 24
2 29 20
2 95 9
2 98 20
2 96 9
2 41 20
2 91 8
2 88 13
2 36 15
2 21 21
2 69 7
2 62 1
2 60 15
2 97 8
2 3 10
2 28 26
2 87 14
2 86 19
2 24 11
2 94 19
2 93 7
2 71 10
2 52 23
3 63 1
3 30 9
3 40 16
3 6 27
3 49 33
3 80 11
3 14 4
3 72 18
3 69 10
3 25 11
3 81 14
3 17 2
3 83 4
3 90 17
3 97 10
3 73 19
3 44 12
3 56 20
3 41 19
3 12 6
3 42 13
3 89 42
3 26 15
3 46 10
3 38 14
3 33 16
4 25 2
4 13 15
4 36 25
4 75 20
4 47 15
4 5 1
4 74 8
4 38 21
4 95 27
4 96 3
4 62 2
4 87 21
4 10 27
4 67 15
4 45 10
4 15 29
4 20 15
4 65 16
4 39 21
4 92 6
4 17 21
4 21 1
4 50 20
4 79 9
4 8 4
4 98 5
4 94 32
5 79 23
5 54 41
5 37 44
5 52 5
5 8 30
5 30 10
5 97 10
5 16 9
5 17 32
5 91 24
5 93 8
5 85 13
5 23 2
5 56 14
5 81 17
5 49 22
5 38 19
5 20 13
5 55 1
5 11 25
5 70 5
5 47 3
5 64 4
5 33 7
5 76 8
6 98 11
6 33 33
6 26 22
6 8 18
6 34 59
6 11 40
6 86 48
6 93 18
6 38 21
6 9 31
6 97 16
6 52 16
6 39 9
6 60 4
6 27 17
6 15 17
6 63 17
6 79 11
6 18 57
6 7 16
6 80 3
6 28 34
6 58 11
6 82 11
6 47 39
6 92 16
6 10 16
6 94 2
6 83 34
6 68 24
6 61 4
6 76 7
6 70 26
6 72 29
6 62 71
6 32 8
6 69 48
6 16 17
7 35 5
7 54 22
7 11 13
7 37 31
7 84 11
7 60 24
7 65 2
7 55 12
7 73 11
7 66 6
7 77 5
7 50 17
7 33 6
7 75 14
7 42 18
7 25 16
7 28 43
7 24 27
7 63 21
7 47 5
7 49 18
7 79 4
8 57 46
8 70 12
8 27 13
8 42 7
8 36 9
8 95 8
8 43 18
8 53 23
8 29 7
8 56 22
8 26 20
8 9 28
8 68 17
8 39 10
8 49 35
8 47 43
8 11 16
8 30 28
8 62 24
8 97 42
8 34 15
8 61 9
8 98 9
8 77 10
8 73 4
8 58 8
8 89 6
8 12 10
8 66 15
9 75 28
9 47 35
9 40 40
9 43 3
9 18 61
9 49 30
9 17 21
9 50 2
9 32 33
9 39 29
9 63 3
9 67 38
9 29 67
9 54 17
9 72 7
9 53 13
9 68 41
9 25 9
9 15 23
9 86 22
9 20 41
9 92 25
9 11 51
9 45 20
9 10 11
9 61 10
9 38 48
9 57 41
9 13 31
9 80 36
9 14 43
9 64 38
9 12 49
9 69 16
9 84 20
9 33 32
10 80 7
10 47 43
10 91 20
10 37 15
10 34 3
10 63 11
10 30 14
10 43 5
10 58 36
10 33 8
10 52 12
10 23 28
10 39 17
10 14 38
10 93 10
10 92 21
10 68 9
10 75 29
10 66 12
10 85 41
10 60 11
10 70 33
10 50 3
10 95 8
11 12 2
11 75 18
11 47 33
11 20 21
11 31 18
11 40 6
11 53 16
11 81 1
11 23 9
11 98 19
11 16 4
11 99 47
11 92 19
11 62 13
11 67 4
11 32 6
11 66 3
11 69 7
11 76 15
11 27 20
11 91 7
11 82 23
12 48 19
12 64 11
12 98 3
12 21 28
12 67 49
12 70 10
12 86 26
12 54 14
12 92 39
12 78 21
12 38 18
12 37 15
12 96 10
12 59 1
12 97 4
12 45 39
12 65 14
13 59 5
13 74 14
13 65 22
13 58 39
13 44 8
13 20 11
13 22 17
13 36 34
13 54 11
13 32 26
13 80 30
13 23 56
13 27 13
13 26 18
13 33 50
13 68 43
13 72 1
13 93 17
13 96 19
13 62 9
13 88 17
13 49 18
13 73 28
13 63 28
13 15 48
13 79 33
13 53 13
13 35 4
13 98 3
13 87 3
13 95 9
13 52 15
14 88 7
14 50 49
14 60 4
14 79 1
14 36 16
14 47 10
14 27 31
14 32 11
14 70 9
14 72 12
14 59 5
14 38 8
14 57 25
14 80 15
14 23 33
14 67 15
14 52 23
14 24 27
14 66 14
14 78 19
15 95 49
15 67 11
15 58 1
15 86 27
15 49 15
15 77 6
15 21 31
15 74 6
15 22 48
15 63 5
15 73 3
15 57 4
15 97 1
15 71 34
15 18 19
15 51 15
15 78 34
15 64 2
15 29 2
15 98 18
15 79 27
15 81 16
15 80 38
15 69 4
15 93 18
15 44 4
15 96 5
16 35 6
16 93 10
16 68 17
16 25 7
16 49 4
16 83 18
16 62 7
16 77 14
16 86 17
16 55 4
16 27 1
16 41 18
16 44 16
16 88 15
16 70 5
16 80 16
16 29 16
16 84 31
16 45 7
16 59 3
16 53 34
16 26 44
16 42 12
16 66 3
16 96 18
16 17 14
16 72 6
16 18 12
17 50 14
17 90 44
17 81 11
17 83 4
17 76 7
17 55 17
17 35 31
17 37 3
17 46 16
17 22 17
17 41 26
17 29 23
17 59 12
17 67 24
17 74 15
17 58 28
17 85 26
17 91 16
18 55 11
18 30 27
18 58 27
18 91 23
18 49 5
18 75 16
18 22 27
18 57 25
18 47 51
18 53 8
18 43 3
18 39 3
18 65 1
18 94 24
18 93 15
18 87 3
18 64 6
18 23 4
18 42 7
18 31 6
19 83 22
19 95 19
19 45 29
19 44 6
19 92 6
19 38 33
19 65 7
19 63 15
19 39 7
19 33 10
19 27 53
19 67 24
19 97 13
19 57 20
19 54 24
19 66 36
19 56 13
19 98 8
19 72 10
19 47 18
19 35 8
19 79 2
19 61 21
19 31 4
20 43 18
20 41 28
20 90 7
20 93 12
20 25 3
20 78 31
20 36 5
20 85 7
20 51 8
20 38 38
20 61 6
20 63 7
20 22 37
20 55 8
20 53 9
20 49 35
20 57 12
20 65 39
20 67 15
20 29 10
21 42 18
21 76 4
21 65 17
21 81 7
21 59 13
21 79 19
21 89 26
21 88 21
21 26 5
21 56 17
21 22 23
21 46 8
21 72 2
21 36 3
21 45 20
21 91 22
21 52 16
21 38 20
21 83 29
22 45 29
22 24 28
22 41 13
22 86 22
22 55 21
22 51 24
22 62 50
22 56 26
22 81 34
22 78 5
22 68 22
22 98 18
22 40 14
22 99 11
22 84 15
22 39 14
22 64 3
22 97 51
22 96 6
22 95 34
22 47 52
22 31 10
22 57 8
23 56 8
23 28 41
23 95 54
23 65 8
23 73 33
23 45 3
23 80 11
23 25 19
23 54 14
23 97 30
23 71 14
23 30 5
23 57 34
23 96 2
23 34 28
23 75 20
23 81 26
23 90 13
23 66 16
23 69 5
23 62 25
23 47 16
23 59 11
23 42 17
24 58 20
24 85 43
24 37 12
24 51 21
24 56 2
24 30 16
24 38 4
24 49 32
24 25 2
24 72 28
24 57 6
24 60 20
24 83 35
24 73 6
24 45 18
24 92 7
24 41 20
24 64 18
24 98 7
25 92 15
25 48 16
25 46 7
25 35 10
25 49 11
25 41 4
25 99 4
25 87 33
25 80 1
25 26 15
25 68 1
25 77 6
25 67 1
25 84 34
25 93 11
25 79 6
25 51 1
25 74 11
25 83 7
25 57 2
25 70 17
26 49 9
26 28 7
26 93 48
26 87 46
26 81 14
26 98 2
26 68 26
26 70 14
26 41 2
26 82 24
26 77 35
26 30 24
26 66 23
26 62 20
26 79 22
26 67 30
26 72 8
26 39 8
26 35 26
26 89 52
26 84 5
27 92 3
27 94 14
27 47 28
27 48 4
27 89 36
27 38 37
27 85 4
27 99 35
27 66 6
27 63 29
27 79 9
27 53 2
27 31 8
27 55 3
27 37 27
27 33 10
27 40 26
27 44 18
27 42 7
27 49 22
27 56 27
28 98 7
28 68 33
28 47 51
28 88 5
28 79 11
28 87 15
28 82 51
28 48 3
28 29 42
28 56 9
28 95 22
28 53 9
28 62 11
28 75 2
28 52 18
28 66 13
28 36 11
28 93 10
28 94 27
28 67 54
28 63 2
28 40 12
29 70 37
29 52 33
29 48 25
29 96 12
29 75 11
29 44 33
29 33 60
29 79 21
29 37 29
29 85 46
29 92 46
29 38 16
29 81 7
29 32 5
29 77 11
29 91 11
29 53 39
29 89 12
29 72 10
29 35 36
29 84 16
30 74 1
30 40 4
30 76 1
30 58 53
30 67 34
30 46 8
30 86 12
30 32 5
30 45 9
30 35 21
30 57 23
30 43 9
30 31 13
30 37 32
30 69 4
30 48 9
30 80 20
30 42 11
30 88 9
30 79 23
30 61 3
30 89 8
31 97 10
31 47 32
31 89 4
31 77 40
31 95 39
31 90 11
31 64 22
31 34 15
31 87 38
31 65 14
31 96 3
31 68 6
31 63 52
31 79 8
31 44 28
31 84 21
32 90 8
32 92 17
32 85 22
32 81 24
32 66 1
32 53 12
32 73 14
32 96 41
32 47 47
32 99 14
32 67 10
32 59 15
32 80 7
32 60 17
32 82 4
32 55 10
32 58 16
33 57 39
33 51 32
33 92 23
33 77 14
33 99 11
33 90 27
33 54 31
33 47 26
33 58 18
33 48 5
33 82 6
33 40 7
33 96 25
33 89 7
33 87 10
33 73 13
33 66 10
34 73 15
34 51 2
34 63 9
34 41 48
34 80 6
34 84 7
34 79 4
34 37 21
34 58 12
34 72 3
34 69 7
34 70 22
34 67 45
34 64 11
34 60 8
34 68 14
34 49 2
35 86 29
35 71 1
35 81 5
35 41 19
35 67 4
35 37 6
35 36 10
35 50 30
35 56 16
35 70 58
35 94 21
35 48 19
35 58 40
35 97 21
35 89 3
35 95 23
35 83 31
35 52 5
35 38 18
36 69 27
36 86 24
36 57 19
36 78 11
36 92 20
36 79 15
36 38 35
36 72 47
36 39 16
36 59 15
36 44 8
36 54 21
36 60 5
36 88 21
36 66 30
36 90 13
36 73 39
37 44 32
37 40 15
37 39 23
37 47 29
37 72 24
37 81 53
37 74 53
37 90 29
37 45 47
37 42 63
37 87 6
37 84 11
37 54 56
37 78 33
37 55 14
37 92 53
37 43 22
37 62 43
38 79 33
38 48 17
38 85 34
38 67 15
38 54 27
38 44 12
38 66 43
38 50 48
38 72 31
38 56 7
38 81 8
38 89 23
38 70 12
38 74 54
38 41 35
38 52 25
38 51 28
38 77 3
38 64 3
38 88 26
38 53 19
38 59 8
39 62 31
39 51 13
39 76 23
39 80 7
39 95 16
39 83 20
39 85 30
39 45 7
39 87 15
39 46 1
39 66 27
39 70 27
39 72 39
39 67 4
39 63 28
39 41 36
40 75 28
40 83 5
40 58 19
40 56 19
40 44 13
40 54 12
40 92 18
40 66 22
40 55 2
40 46 36
40 47 36
40 96 1
41 95 9
41 53 32
41 68 1
41 70 1
41 83 11
41 48 23
41 96 56
41 87 4
41 88 13
41 60 15
41 47 2
41 91 8
41 46 26
41 75 50
41 58 10
41 85 30
41 61 4
41 93 14
41 72 16
41 84 25
41 56 31
41 71 31
42 95 24
42 86 14
42 78 18
42 77 31
42 74 2
42 72 13
42 61 2
42 67 10
42 54 25
42 82 17
42 71 8
43 53 18
43 91 5
43 81 41
43 65 18
43 95 31
43 44 6
43 64 11
43 50 8
43 62 19
43 79 42
43 56 16
43 90 8
44 97 15
44 75 34
44 94 27
44 45 34
44 91 39
44 98 7
44 86 3
44 69 3
45 52 12
45 84 41
45 73 31
45 77 26
45 93 14
45 85 15
45 54 3
45 46 59
45 50 18
45 72 21
45 79 82
45 67 42
45 61 17
46 87 38
46 51 15
46 65 1
46 59 11
46 77 21
46 64 15
46 73 27
46 72 30
46 92 4
47 52 34
47 87 30
47 56 28
47 65 62
47 66 18
47 94 57
47 79 15
47 84 34
47 51 14
47 60 28
47 86 21
47 73 15
47 70 19
47 97 33
47 98 44
47 78 16
47 76 29
47 69 33
47 82 40
47 62 35
47 89 8
47 63 21
47 90 27
47 95 49
47 99 36
47 55 20
48 75 6
48 85 19
48 82 37
48 96 18
48 88 1
48 87 30
48 55 16
48 83 17
49 73 23
49 93 18
49 80 12
49 56 23
49 95 14
49 59 7
49 71 2
49 58 5
49 67 32
49 57 8
49 79 41
49 63 10
49 76 15
49 78 23
49 54 9
49 88 12
49 77 34
49 69 4
49 66 31
49 53 55
49 91 13
49 68 9
50 53 22
50 72 21
50 79 15
50 97 15
50 82 7
50 85 15
50 87 2
50 80 4
50 59 1
50 88 37
50 57 10
50 78 30
50 61 8
50 75 8
51 99 27
51 80 7
51 88 24
51 53 2
51 71 6
51 85 13
51 72 36
51 95 27
51 59 7
51 60 6
51 94 1
51 92 35
51 69 6
51 96 20
51 83 9
51 54 6
52 69 15
52 62 3
52 91 10
52 73 1
52 85 21
52 59 22
52 66 11
53 71 2
53 89 9
53 63 4
53 67 29
53 57 2
53 66 24
53 84 7
53 88 8
53 72 1
53 85 2
53 95 13
53 75 25
54 89 9
54 79 10
54 92 17
54 84 34
54 93 4
54 58 4
54 85 23
54 64 18
54 91 12
54 88 1
54 97 25
54 61 20
54 82 43
55 96 26
55 99 4
55 98 14
55 67 2
55 62 27
55 83 4
55 72 56
55 61 17
55 94 38
55 78 1
55 80 3
55 86 30
56 58 10
56 67 28
56 88 11
56 83 43
56 77 34
56 80 15
56 84 6
56 71 5
57 67 29
57 89 3
57 61 16
57 94 3
57 63 14
57 98 13
57 60 15
57 91 45
57 85 21
57 64 14
57 72 18
57 99 19
57 95 49
57 62 19
57 80 21
58 65 40
58 84 16
58 89 16
58 79 24
58 76 3
58 77 12
58 67 44
58 63 3
58 95 38
58 66 22
58 97 20
58 92 13
58 68 23
59 84 23
59 88 1
59 85 37
59 95 43
59 67 12
59 96 1
59 79 45
59 98 2
60 74 14
60 98 19
60 64 14
60 62 27
60 87 22
60 96 17
60 70 12
60 84 37
60 71 29
61 84 18
61 75 11
61 91 7
61 78 12
61 81 24
61 62 15
61 89 8
61 73 12
61 87 5
62 84 14
62 82 38
62 96 40
62 64 25
62 83 46
62 98 17
62 63 39
62 68 13
62 94 20
62 76 7
62 69 17
62 70 37
62 91 10
62 86 14
62 93 5
62 77 5
62 97 3
62 74 3
62 80 35
63 78 6
63 84 2
63 64 41
63 90 20
63 76 6
64 86 20
64 77 8
64 76 3
64 96 12
64 82 2
64 72 10
64 90 3
64 78 2
64 70 6
64 79 4
64 67 6
64 83 19
64 69 2
64 71 24
65 81 8
65 76 5
65 71 23
65 92 42
65 84 25
65 69 14
65 89 6
65 99 6
65 95 29
65 82 3
65 70 3
66 75 56
66 87 24
66 67 31
66 99 14
66 79 4
66 88 6
66 69 6
66 91 21
66 92 10
66 86 1
66 84 6
66 74 25
66 89 42
66 94 6
66 90 6
67 82 12
67 70 33
67 73 11
67 80 1
67 84 72
67 83 32
67 95 2
67 93 7
67 96 20
67 88 23
67 68 42
67 76 1
67 92 45
68 73 10
68 70 40
68 75 26
68 95 8
68 82 18
68 85 2
68 96 6
68 69 24
68 71 15
68 79 27
68 92 34
69 94 27
69 97 16
69 91 23
70 90 10
70 78 8
70 85 40
70 96 3
70 74 12
70 87 10
71 77 19
71 97 5
71 98 14
71 74 12
71 81 20
71 89 12
71 87 15
72 90 3
72 83 15
72 88 29
72 82 4
72 78 7
72 87 32
73 99 11
73 90 14
73 79 9
73 77 27
73 84 30
73 97 51
73 82 8
73 86 12
73 83 10
74 95 29
74 98 7
74 99 3
74 90 10
74 87 30
75 99 13
75 89 4
75 98 11
75 81 4
75 90 29
75 94 35
75 79 9
75 95 9
75 77 37
76 93 18
76 84 24
76 90 2
76 77 7
76 92 5
76 78 14
76 79 6
76 89 2
76 82 16
77 79 52
77 99 42
77 90 44
77 93 44
77 78 65
77 92 28
77 81 10
77 87 33
78 83 4
78 80 11
78 92 19
